id,scenarioname,periodname,facilityname,productname,activitytype,cost,quantity,perunitcost,perunittransportationcost,perunitshipmentcost,perunitintransitholdingcost,perunitdutycost,perunitproductioncost,perunitprebuildholdingcost,perunitturnestimatedholdingcost,perunitstoragecost,perunitsourcingcost,perunitfacilityfixedoperatingcost,perunitfacilityfixedstartupcost,perunitfacilityfixedclosingcost,perunitworkcenterfixedoperatingcost,perunitworkcenterfixedstartupcost,perunitworkcenterfixedclosingcost,perunitinboundhandlingcost,perunitoutboundhandlingcost,perunitprocesscost,perunituserdefinedcost,latitude,longitude
445,3. All 4 MFGs,SinglePeriod,Port_Recife,FG_0001,FacilityPostFixedCost,27366466.490936566,3863.559676586713,7083.226035507661,1789.082701757661,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1294.14333375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0642,-34.8782
446,3. All 4 MFGs,SinglePeriod,Port_Hong Kong,FG_0002,FacilityPostFixedCost,31354214.26961435,4033.318800533326,7773.800143313338,1385.540205088994,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,2138.259938224343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
447,3. All 4 MFGs,SinglePeriod,Port_Kuala Lumpur,FG_0002,FacilityPostFixedCost,8684484.438266255,603.681199466674,14385.878582832494,1103.361246832494,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,8282.517335999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1516964,101.6942371
448,3. All 4 MFGs,SinglePeriod,Port_Long Beach,FG_0001,Facility,1705255.3177853094,257.440323413287,6623.885858967566,1764.456404595086,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,1459.429454372479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.769016,-118.191604
449,3. All 4 MFGs,SinglePeriod,Port_Boston,FG_0001,Facility,28307560.129033685,3863.559676586713,7326.808047143246,2032.664713393247,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1294.14333375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.360253,-71.058291
450,3. All 4 MFGs,SinglePeriod,Port_Long Beach,FG_0002,Facility,42061115.08695833,4637.0,9070.760208531017,1784.951515654702,0.0,0.0,0.0,4347.640909984905,0.0,0.0,0.0,0.0,2938.167782891411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.769016,-118.191604
451,3. All 4 MFGs,SinglePeriod,Port_Long Beach,FG_0001,FacilityPostFixedCost,1705255.3177853092,257.440323413287,6623.885858967566,1764.456404595086,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,1459.429454372479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.769016,-118.191604
452,3. All 4 MFGs,SinglePeriod,Port_Boston,FG_0001,FacilityPostFixedCost,28307560.129033685,3863.559676586713,7326.808047143246,2032.664713393247,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1294.14333375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.360253,-71.058291
453,3. All 4 MFGs,SinglePeriod,Port_Long Beach,FG_0002,FacilityPostFixedCost,42061115.08695833,4637.0,9070.760208531017,1784.951515654702,0.0,0.0,0.0,4347.640909984905,0.0,0.0,0.0,0.0,2938.167782891411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.769016,-118.191604
454,3. All 4 MFGs,SinglePeriod,DC_Detroit,FG_0001,Facility,37118077.6900417,4121.0,9007.055979141398,3240.069374753006,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1304.468815999158,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,42.331551,-83.04664
